freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.8,270.0,105.0,28.0,10.0,0.1,0.4,0.4,0.1969,0.0,0.5194,0.8173
1.86,260.0,105.0,28.0,10.0,0.1,0.6,0.6,0.2867,0.0,0.4937,0.816
1.78,270.0,105.0,28.0,10.0,0.1,0.6,0.6,0.3102,0.0,0.4829,0.8561
1.84,290.0,95.0,28.0,10.0,0.1,0.6,0.6,0.2644,0.0,0.4834,0.9396
1.98,310.0,95.0,24.0,20.0,0.1,0.8,0.8,0.2801,0.0,0.5237,0.9038
1.96,310.0,95.0,24.0,20.0,0.1,0.8,0.8,0.335,0.0,0.5059,0.94
1.83,340.0,105.0,28.0,20.0,0.1,0.8,1.0,0.2798,-0.0162,0.6376,0.9737
1.97,260.0,95.0,28.0,10.0,0.1,0.8,0.8,0.2387,0.0,0.564,0.8607
1.96,240.0,105.0,28.0,20.0,0.1,1.0,1.0,0.2924,0.1222,0.5267,0.7185
1.94,260.0,95.0,28.0,10.0,0.1,0.8,0.8,0.2758,0.0,0.5362,0.9411
1.81,270.0,105.0,28.0,10.0,0.1,0.8,0.8,0.3105,0.0,0.5911,0.8962
1.81,260.0,105.0,28.0,10.0,0.1,0.6,0.6,0.261,0.0,0.5224,0.8368
1.7,320.0,95.0,24.0,20.0,0.1,0.8,0.8,0.1989,0.0,0.7045,0.9803
1.91,340.0,115.0,20.0,20.0,0.1,0.6,0.6,0.1942,0.0,0.6249,0.9535
1.83,300.0,95.0,28.0,10.0,0.1,0.6,0.6,0.2275,0.0,0.5295,0.9491
1.86,290.0,95.0,28.0,10.0,0.1,0.6,0.6,0.2414,0.0,0.5015,0.9571
1.85,280.0,95.0,28.0,10.0,0.1,1.0,1.0,0.4441,0.4206,0.493,0.9135
1.79,280.0,105.0,28.0,10.0,0.1,0.6,0.6,0.2371,0.0,0.5393,0.937
1.97,320.0,95.0,24.0,20.0,0.1,1.0,1.0,0.3685,0.3131,0.4956,0.9587
1.86,280.0,95.0,28.0,10.0,0.1,0.6,0.6,0.2655,0.0,0.5011,0.9124
1.84,280.0,95.0,28.0,10.0,0.1,0.6,0.6,0.2534,0.0,0.4759,0.9218
1.89,270.0,95.0,28.0,10.0,0.1,0.8,0.8,0.3311,0.0,0.4991,0.9204
1.91,280.0,95.0,20.0,20.0,0.1,1.0,1.0,0.2243,0.1674,0.5894,0.8069
1.83,280.0,95.0,28.0,10.0,0.1,0.8,0.8,0.3264,0.0,0.4899,0.9314
1.95,260.0,95.0,28.0,10.0,0.1,0.8,0.8,0.2294,0.0,0.5962,0.9318
